Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
046101.png;True;154;0,78;8113,08;0,58
046116.png;True;154;0,85;8119,52;0,6
046118.png;True;127;0,79;8094,08;0,5
046119.png;True;136;0,79;8091,18;0,53
046120.png;True;154;0,79;8062,11;0,59
046121.png;True;154;0,78;8156,7;0,59
046122.png;True;228;0,78;8073,53;0,86
046124.png;True;154;0,79;8123,06;0,6
046125.png;True;446;0,79;8084,59;1,72
046128.png;True;230;0,78;8135,26;0,87
046129.png;True;158;0,78;8074,17;0,62
046130.png;True;582;0,79;8095,79;2,2
046137.png;True;135;0,8;8113,53;0,53
046139.png;True;157;0,79;8132,18;0,61
046140.png;True;155;0,78;8148,7;0,59
046146.png;True;150;0,79;8106,24;0,59
046147.png;True;224;0,79;8093,89;0,96
046148.png;True;227;0,81;8091,86;1,02
046152.png;True;236;0,79;8081,73;0,9
046163.png;True;521;0,8;8138,53;1,94
046166.png;True;233;0,8;8118,43;0,89
046167.png;True;671;0,79;8088,2;2,53
046171.png;True;326;0,79;8120,46;1,21
046172.png;True;155;0,8;8060,48;0,6
046173.png;True;155;0,8;8086,65;0,6
046174.png;True;123;0,78;8062,0;0,48
046175.png;True;237;0,8;8145,49;0,91
046178.png;True;158;0,83;8097,27;0,61
046181.png;True;154;0,79;8167,07;0,59
046182.png;True;416;0,8;8113,5;1,56
046183.png;True;125;0,79;8089,25;0,48
046186.png;True;227;0,8;8111,34;0,86
046187.png;True;155;0,78;8075,95;0,59
046189.png;True;231;0,81;8123,87;0,89
046190.png;True;154;0,78;8125,96;0,65
046191.png;True;162;0,78;8113,37;0,62
046192.png;True;135;0,79;8110,5;0,52
046199.png;True;155;0,79;8065,64;0,6
046200.png;True;671;0,79;8115,34;2,51
046201.png;True;443;0,79;8041,35;1,63
046203.png;True;446;0,79;8130,05;1,66
046204.png;True;446;0,79;8081,76;1,67
046210.png;True;154;0,79;8142,94;0,59
046215.png;True;122;0,79;8120,91;0,47
046217.png;True;153;0,79;8083,82;0,59
046219.png;True;443;0,8;8081,39;1,69
046221.png;True;160;0,78;8076,97;0,61
046222.png;True;155;0,8;8116,67;0,6
046223.png;True;501;0,78;8107,52;1,88
046226.png;True;230;0,78;8145,75;1,03
046227.png;True;425;0,83;8200,04;1,58
046231.png;True;223;0,79;8093,17;0,84
046232.png;True;155;0,79;8113,28;0,6
046236.png;True;154;0,81;8081,28;0,6
046238.png;True;154;0,78;8120,66;0,59
046239.png;True;230;0,79;8079,3;0,88
046240.png;True;154;0,79;8084,63;0,59
046242.png;True;667;0,78;8160,21;2,5
046243.png;True;482;0,79;8078,36;1,83
046245.png;True;237;0,78;8065,93;0,9
046246.png;True;155;0,79;8127,82;0,61
046247.png;True;137;0,81;8085,68;0,53
046249.png;True;154;0,79;8114,12;0,6
